model,run,epochs,max_explore,max_greedy,csv_file
NN128x3,1,279,6016.0,100000,NN128x3_Run1.csv
NN1024x3,3,33,616.5,100000,NN1024x3_Run3.csv
NN256x3,1,582,1843.0,100000,NN256x3_Run1.csv
NN512x3,1,48,1363.0,100000,NN512x3_Run1.csv
NN128x3,2,522,10682.0,100000,NN128x3_Run2.csv
NN64x3,4,673,4582.0,100000,NN64x3_Run4.csv
NN128x3,3,577,7160.0,100000,NN128x3_Run3.csv
NN50x3,2,809,40876.0,100000,NN50x3_Run2.csv
NN100x3,1,337,1493.0,100000,NN100x3_Run1.csv
NN50x3,1,1569,4200.0,100000,NN50x3_Run1.csv
NN200x3,1,345,1883.0,100000,NN200x3_Run1.csv
NN100x3,2,705,2513.0,100000,NN100x3_Run2.csv
NN200x3,2,169,1619.0,100000,NN200x3_Run2.csv
NN400x3,2,41,2425.0,100000,NN400x3_Run2.csv
NN400x3,1,177,1360.0,100000,NN400x3_Run1.csv
NN32x3,1,1505,17440.0,100000,NN32x3_Run1.csv
NN800x3,1,49,1159.0,100000,NN800x3_Run1.csv
NN800x3,2,45,874.0,100000,NN800x3_Run2.csv
NN256x3,2,41,1495.0,100000,NN256x3_Run2.csv
NN256x3,2,93,3662.0,100000,NN256x3_Run2.csv
NN256x3,3,177,1558.0,100000,NN256x3_Run3.csv
NN256x3,4,57,3395.0,100000,NN256x3_Run4.csv
NN100x3,3,689,6896.0,100000,NN100x3_Run3.csv
NN80x3,1,473,2159.0,100000,NN80x3_Run1.csv
NN100x3,5,841,2564.0,100000,NN100x3_Run5.csv
NN100x3,4,1057,2739.0,100000,NN100x3_Run4.csv
NN80x3,3,409,1694.0,100000,NN80x3_Run3.csv
NN100x3,6,513,2319.0,100000,NN100x3_Run6.csv
NN300x3,1,41,2810.0,100000,NN300x3_Run1.csv
NN300x3,2,45,2363.0,100000,NN300x3_Run2.csv
NN64x3,5,1273,10530.0,100000,NN64x3_Run5.csv
